2024-10-07 11:21:33.933 ERROR json_response.py json_response - response_exception:{'message': "'access_token'"}
2024-10-07 11:51:45.185 ERROR json_response.py json_response - response_exception:{'message': '(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'%s \\n        ORDER BY task_code DESC\\n        LIMIT 1\' at line 3")'}
2024-10-07 14:50:43.098 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:43.161 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:44.242 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:52.013 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:53.033 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:51:43.733 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:51:44.750 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:53:50.648 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:57:55.525 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:57:55.579 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:57:55.636 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:57:55.719 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:58:00.729 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:05.055 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:37.410 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:37.490 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:37.558 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:37.641 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:59:41.394 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:05:37.670 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:05:39.062 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:22.027 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:22.081 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:22.150 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:22.209 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:22.950 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:27.145 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:52.982 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:53.037 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:53.099 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:53.161 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:13:57.275 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:14:02.442 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:14:10.223 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:16:32.316 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:18:51.854 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:18:51.914 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:18:51.977 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:18:52.047 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:18:52.660 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:26:40.679 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:03.366 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:03.433 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:03.495 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:03.562 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:46.877 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:46.955 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:47.015 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 15:45:47.078 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 16:20:58.192 ERROR json_response.py json_response - response_exception:{'message': "'authorization'"}
2024-10-07 17:29:29.525 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:29:29.589 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:29:29.651 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:29:29.740 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:32:04.302 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:43:05.179 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:43:05.245 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:43:05.295 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:43:05.359 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:43:06.326 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:44:45.919 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:44:45.991 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:44:46.051 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:44:46.112 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:44:47.727 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:46:19.306 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:46:19.365 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:46:19.448 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:46:19.515 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:46:46.930 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:22.313 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:23.401 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:51.718 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:51.802 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:51.859 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:51.910 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:47:52.476 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:34.762 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:34.848 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:34.903 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:34.982 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:43.274 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:52.456 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:52.514 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:52.583 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:49:52.647 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:50:00.874 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:50:15.965 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:50:16.021 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:50:16.092 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:50:16.144 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:51:07.962 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:51:08.019 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:51:08.078 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:51:08.140 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:51:09.135 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:52:39.165 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:52:39.225 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:52:39.294 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:52:39.353 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:52:41.174 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:11.487 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:11.544 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:11.621 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:11.680 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:20.443 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:21.190 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:22.342 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:23.356 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:53:24.658 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:54:56.497 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:54:56.553 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:54:56.618 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:54:56.675 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:54:59.386 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:55:08.227 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:55:58.795 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:55:58.859 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:55:58.919 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 17:55:58.968 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:05:20.286 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:05:20.343 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:05:20.438 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:05:20.494 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:05:21.679 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:09:30.984 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:09:40.446 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:11:48.425 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:03.359 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:03.432 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:03.483 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:03.542 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:06.484 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:12:09.945 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:13:16.160 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:16:41.445 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:44.791 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:44.891 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:44.954 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:45.027 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:53.561 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:53.627 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:53.678 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:53.738 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 18:22:56.090 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
